Charan,nTR,Prab
0717257,05740574,NonStandard
0717257,05780578,NonStandard
0717257,03620362,NonStandard
0717257,02590259,NonStandard
0717257,05920592,NonStandard
0717257,02610261,NonStandard
0717257,05940594,NonStandard
0717257,12371237,NonStandard
0717257,14431443,NonStandard
0717257,02970297,NonStandard
0717257,03540354,NonStandard
0717257,14751475,NonStandard
0717257,12171217,NonStandard
0717257,03450345,NonStandard
0717257,02810281,NonStandard
0717257,12131213,NonStandard
0717257,02890289,NonStandard
0717257,03370337,NonStandard
0717257,03290329,NonStandard
0717257,03130313,NonStandard
0717257,03210321,NonStandard
0717257,17101710,NonStandard
0717257,22112211,NonStandard
0717257,14411441,NonStandard
0717257,02370237,NonStandard
0717257,15341534,NonStandard
0717257,05340534,NonStandard
0717257,05360536,NonStandard
0717257,02230223,NonStandard
0717257,03940394,NonStandard
0717257,05420542,NonStandard
0717257,15191519,NonStandard
0717257,02270227,NonStandard
0717257,15111511,NonStandard
0717257,03920392,NonStandard
0717257,15051505,NonStandard
0717257,03700370,NonStandard
0717257,05500550,NonStandard
0742856,,NonStandard
0906040,,NonStandard
0921094,,NonStandard
0193382,,Standard
0215825,,NonStandard
0708550,,NonStandard
0920212,,Standard
0708697,,NonStandard
0904907,,NonStandard
0927770,,Standard
0752047,,NonStandard
0905531,,NonStandard
0710539,,NonStandard
0228081,,NonStandard
0925145,,NonStandard
0927358,,NonStandard
0730263,,NonStandard
0922244,,NonStandard
0925146,,NonStandard
0905623,,Standard
0915623,,Standard
0901982,,NonStandard
0919002,,Standard
0227704,,NonStandard
0919581,,NonStandard
0921973,,NonStandard
0708571,,NonStandard
0926112,,Standard
0228222,,NonStandard
0705362,,NonStandard
0912676,,Standard
0929393,,Standard
0717649,,NonStandard
0908909,,NonStandard
0922242,,Standard
0920923,,NonStandard
0704441,,NonStandard
0708493,,NonStandard
0752896,,NonStandard
0914663,10201020,NonStandard
0914663,09400940,NonStandard
0914663,08080808,NonStandard
0914663,03570357,NonStandard
0914663,12571257,NonStandard
0914663,02080208,NonStandard
0914663,03650365,NonStandard
0914663,12791279,NonStandard
0914663,03220322,NonStandard
0914663,13371337,NonStandard
0914663,00050005,NonStandard
0914663,04670467,NonStandard
0914663,01590159,NonStandard
0914663,10041004,NonStandard
0914663,04590459,NonStandard
0914663,08240824,NonStandard
0914663,04910491,NonStandard
0914663,09330933,NonStandard
0914663,09250925,NonStandard
0914663,02550255,NonStandard
0914663,06510651,NonStandard
0914663,02470247,NonStandard
0914663,01780178,NonStandard
0914663,00950095,NonStandard
0914663,08850885,NonStandard
0914663,09170917,NonStandard
0914663,09090909,NonStandard
0914663,06670667,NonStandard
0914663,06890689,NonStandard
0914663,09490949,NonStandard
0914663,06770677,NonStandard
0914663,08930893,NonStandard
0914663,01700170,NonStandard
0914663,01600160,NonStandard
0914663,09570957,NonStandard
0914663,11151115,NonStandard
0914663,11231123,NonStandard
0914663,01030103,NonStandard
0914663,06590659,NonStandard
0914663,09410941,NonStandard
0914663,09010901,NonStandard
0914663,10451045,NonStandard
0914663,07130713,NonStandard
0914663,02310231,NonStandard
0914663,08250825,NonStandard
0914663,07450745,NonStandard
0914663,10611061,NonStandard
